turn_id,speaker,start,stop,utterance,prev_utterance,label
0,5ec8a23062738338f917576a,5.94,6.26,Yeah.,,1
1,5f1f2cf5a441a30fa1b79b2d,6.04,7.65,Yeah. Hey can you hear me?,Yeah.,2
2,5ec8a23062738338f917576a,7.54,9.25,"Yeah, I can hear you. How are you?",Yeah. Hey can you hear me?,1
3,5f1f2cf5a441a30fa1b79b2d,9.44,10.76,"Good thanks, how are you?","Yeah, I can hear you. How are you?",1
4,5ec8a23062738338f917576a,10.74,12.66,Good. Yeah.,"Good thanks, how are you?",1
5,5f1f2cf5a441a30fa1b79b2d,12.34,14.64,Um,Good. Yeah.,1
6,5ec8a23062738338f917576a,13.71,15.04,"During,",Um,1
7,5f1f2cf5a441a30fa1b79b2d,14.65,15.36,What?,"During,",1
8,5ec8a23062738338f917576a,15.74,17.15,how are you doing this weekend?,What?,2
9,5f1f2cf5a441a30fa1b79b2d,17.64,24.36,Yeah I'm doing pretty good. Um It's still it's still friday for me. Is it saturday for you?,how are you doing this weekend?,1
10,5ec8a23062738338f917576a,24.24,26.01,It's friday. Yeah. Oh my weekend,Yeah I'm doing pretty good. Um It's still it's still friday for me. Is it saturday for you?,1
11,5f1f2cf5a441a30fa1b79b2d,25.74,25.94,Yeah.,It's friday. Yeah. Oh my weekend,1
12,5ec8a23062738338f917576a,26.01,28.05,starts early because I don't work on Fridays.,Yeah.,2
13,5f1f2cf5a441a30fa1b79b2d,28.34,28.88,Okay.,starts early because I don't work on Fridays.,1
14,5ec8a23062738338f917576a,28.44,30.56,I would love to someday. So. Yeah.,Okay.,1
15,5f1f2cf5a441a30fa1b79b2d,30.54,30.95,Yeah,I would love to someday. So. Yeah.,1
16,5ec8a23062738338f917576a,31.14,31.55,Yeah.,Yeah,1
17,5f1f2cf5a441a30fa1b79b2d,31.34,33.36,it's not actually um,Yeah.,2
18,5ec8a23062738338f917576a,33.14,33.76,Yeah.,it's not actually um,1
19,5f1f2cf5a441a30fa1b79b2d,33.37,36.66,you get a day off when everyone else is still working.,Yeah.,2
20,5ec8a23062738338f917576a,36.64,42.37,Right. I think it's nice to people to do things without people are out and about. So like,you get a day off when everyone else is still working.,2
21,5f1f2cf5a441a30fa1b79b2d,41.94,42.44,Yeah.,Right. I think it's nice to people to do things without people are out and about. So like,1
22,5ec8a23062738338f917576a,42.38,43.36,days. Good,Yeah.,1
23,5f1f2cf5a441a30fa1b79b2d,43.84,44.21,Yeah,days. Good,1
24,5ec8a23062738338f917576a,43.94,44.89,one,Yeah,1
25,5f1f2cf5a441a30fa1b79b2d,44.22,44.65,sure.,one,1
26,5ec8a23062738338f917576a,44.89,47.45,really is out and about now,sure.,2
27,5f1f2cf5a441a30fa1b79b2d,47.34,49.44,Yeah but,really is out and about now,1
28,5ec8a23062738338f917576a,48.64,49.56,in this time.,Yeah but,2
29,5f1f2cf5a441a30fa1b79b2d,49.45,54.45,"I went to the beach the last couple weekends here, it was packed.",in this time.,2
30,5ec8a23062738338f917576a,54.74,55.16,Okay.,"I went to the beach the last couple weekends here, it was packed.",1
31,5f1f2cf5a441a30fa1b79b2d,54.84,62.46,Um So and going on I was talking to my friend and going on a weekday um would have been ideal you know,Okay.,2
32,5ec8a23062738338f917576a,62.84,63.38,Right.,Um So and going on I was talking to my friend and going on a weekday um would have been ideal you know,1
33,5f1f2cf5a441a30fa1b79b2d,62.84,63.46,because that,Right.,1
34,5ec8a23062738338f917576a,63.39,64.46,"Yeah. Because it's,",because that,1
35,5f1f2cf5a441a30fa1b79b2d,64.54,67.66,people generally are working more still even,"Yeah. Because it's,",2
36,5ec8a23062738338f917576a,67.14,69.06,yeah. Do you live near a beach?,people generally are working more still even,1
37,5f1f2cf5a441a30fa1b79b2d,69.64,73.76,um about 45 Minute Drive Maybe.,yeah. Do you live near a beach?,1
38,5ec8a23062738338f917576a,73.94,75.22,Okay. Where,um about 45 Minute Drive Maybe.,1
39,5f1f2cf5a441a30fa1b79b2d,75.14,75.55,Yeah.,Okay. Where,1
40,5ec8a23062738338f917576a,75.22,75.75,do you want?,Yeah.,1
41,5f1f2cf5a441a30fa1b79b2d,76.24,78.66,Um I just moved to Rhode Island.,do you want?,2
42,5ec8a23062738338f917576a,78.94,79.96,Okay. Cool.,Um I just moved to Rhode Island.,1
43,5f1f2cf5a441a30fa1b79b2d,80.04,81.74,Yeah,Okay. Cool.,1
44,5ec8a23062738338f917576a,80.74,80.95,Yes.,Yeah,1
45,5f1f2cf5a441a30fa1b79b2d,82.44,85.26,so I've been here for about a month and a half.,Yes.,2
46,5ec8a23062738338f917576a,85.64,86.15,Okay.,so I've been here for about a month and a half.,1
47,5f1f2cf5a441a30fa1b79b2d,86.84,88.54,Yeah.,Okay.,1
48,5ec8a23062738338f917576a,87.64,93.66,"Gotcha pennsylvania. So we used to travel around the north, but yeah, brutal enjoyed pretty.",Yeah.,2
49,5f1f2cf5a441a30fa1b79b2d,94.24,95.95,Yeah we're about saying now.,"Gotcha pennsylvania. So we used to travel around the north, but yeah, brutal enjoyed pretty.",1
50,5ec8a23062738338f917576a,96.24,97.65,I live in Georgia now.,Yeah we're about saying now.,2
51,5f1f2cf5a441a30fa1b79b2d,98.14,99.68,Okay.,I live in Georgia now.,1
52,5ec8a23062738338f917576a,98.64,99.05,Yeah.,Okay.,1
53,5f1f2cf5a441a30fa1b79b2d,99.69,103.36,"So is that, does Georgia have coast or?",Yeah.,2
54,5ec8a23062738338f917576a,103.54,104.16,"Um,","So is that, does Georgia have coast or?",2
55,5f1f2cf5a441a30fa1b79b2d,103.84,105.16,Uh.,"Um,",1
56,5ec8a23062738338f917576a,104.17,119.45,"it does, I don't live quote like I guess that would be like there's some towns I guess Savannah is one example of like the town that's near the coast, but like the big cities Atlanta. So I live in Atlanta and there's no coast. Unfortunately.",Uh.,2
57,5f1f2cf5a441a30fa1b79b2d,118.74,119.24,Oh yeah.,"it does, I don't live quote like I guess that would be like there's some towns I guess Savannah is one example of like the town that's near the coast, but like the big cities Atlanta. So I live in Atlanta and there's no coast. Unfortunately.",1
58,5ec8a23062738338f917576a,119.45,122.35,"It's nice to live near the coast, but it's not too far if you do want to go.",Oh yeah.,2
59,5f1f2cf5a441a30fa1b79b2d,123.04,124.23,Yeah. Yeah that's,"It's nice to live near the coast, but it's not too far if you do want to go.",1
