speaker,utterance,relational_score,info_score
B,get the house uh still still in the half unpacked . Like it's .,3,2
A,on it's feet . Right .,3,1
B,not uh I don't have a n- .,2,2
A,Still in boxes [UNINTELLIGIBLE] .,3,2
B,I I di- we didn't have closets and so I didn't like uh [BREATH] .,3,2
A,Wow .,2,2
B,You know how you have to buy closets here . You know they don't come with the house .,3,4
A,yeah it's crazy . It's very expensive here als- in I- in Israel .,3,3
B,ridi- . Ridiculous . Ridiculous . Like they just . Pieces of junk like .,3,3
A,Junk . It's unbeliev- .,2,2
B,Pressboard [BREATH] .,2,1
A,It's unbelievable .,3,2
B,Costs a million dollars .,2,4
A,I don't know why furniture is so expensive there . Maybe because it's wood . I don't know .,3,3
B,"small market, no, it's it's made out of pressboard what are you",2,3
A,Garbage .,2,1
B,i- . It's garbage garbage garba- .,1,1
A,Because here garbage furniture co- you pay nothing for it .,2,3
B,Because because it's mass produced [BREATH] .,2,2
A,It's gar- . Right .,2,2
B,Here the sma- market is so small .,3,3
A,Well that's what it i- .,2,1
B,[LAUGHS] . That uh yeah that you can't produce in the same volume so you know,3,2
A,I see .,3,2
B,So uh but in any case whatever I g- I I was going to Meah_She'arim [BREATH] .,3,3
A,In those little .,2,2
B,secondhand stores . Like I did .,3,3
A,I know I know . But even those are expensive .,3,2
B,[BREATH] I bought one thing there .,3,3
A,Even those are expensive .,3,3
B,"What ? [BREATH] yeah so I got one for four hundred shekels . That's two hundred dollars, not so eh two hundred Canadian dollars . Not so bad [BREATH] .",3,3
A,mm . mhm .,2,2
B,But uh but uh I I at a certain point like I was going so crazy,3,3
A,yeah .,3,1
B,It's like you know on top of everything else . that I just said I'm going to Tel_Aviv . I went to like the furniture . district and I just . bought a new one and then finished .,3,4
A,you just . bought one that was at you paid you thousand sh- .,3,3
B,I just feel like daven@s:yid .,3,2
A,You paid your thousand shekel and that's it .,2,4
B,daven@s:yid . It was It was like seven hundred shekel like by the time all .,2,3
A,uhhuh . It was all over . oy .,3,2
B,"yeah, yeah . Like by the time it gets here and it's up it'll be seven hundred But uh .",2,3
A,uhhuh .,2,1
B,I just like I wrote a hundred shekel deposit and I have to r- like I'll daven@s:yid until the ne- +/.,2,4
A,[UNINTELLIGIBLE] .,2,2
B,"+, [BREATH] for the next few days that [LAUGHS] [=! laughing] money [BREATH] .",3,1
A,uhhuh . uhhuh .,3,2
B,So um .,2,1
A,How's how's how's um . ho- ho- ho- is Danny having any hazlachah@s:heb at all in th- in,3,3
B,He's having a very very hard time .,4,3
A,Very har- .,3,2
B,Very hard time [BREATH] Because um . Well like . [BREATH] I don't know it's uh I don't if it's like funds or it's a Like he is .,3,3
A,Is it that he doesn't have a viable product or he d- or he doesn't,3,3
B,I think he has viable product eh there's a few things [BREATH] I,3,3
A,mhm . mhm .,3,2
B,um and I think that like from the beginning if he had had a person [BREATH] . then they would have been okay but .,3,4
A,Right .,3,2
B,like the truth is is that all the people that worked with them,3,3
A,mhm . You mean the sort of [UNINTELLIGIBLE] you mean [UNINTELLIGIBLE] not .,2,2
B,You know cre- yeah active creative and all that but not like the,3,2
A,But not practical as far as the . Well may- eh may- maybe k'dai@s:heb to hire a money minded guy for,2,3
B,aggre- .,3,2
A,So you know what I mean ?,3,2
B,yeah so the problem is though that .,3,3
A,As opposed to as opposed to [UNINTELLIGIBLE] .,2,1
B,they're so beyond like you know they're so beyond it financially,3,3
A,mhm .,2,1
B,So um .,2,1
A,Well he'll have to he'll have to so to speak um raise his own I mean .,3,2
B,[BREATH] Well that's what's yeah that's what's happening but it's,3,2
A,[UNINTELLIGIBLE] . Right .,3,2
B,What yeah th- a little bit comes in here a little bit comes in,3,2
A,mm .,2,1
B,But uh like in a_lot_of the thi- the people that you know we,3,3
A,mhm .,3,1
B,They like promise and then people don't follow through and <you,3,3
A,Sure . You always have to f- follow up is one of the things you know .,3,3
B,yeah no but like even when you follow up and then they say well you And [BREATH] you know like thanks a_lot . Like .,4,3
A,mm . [UNINTELLIGIBLE] .,2,1
B,[BREATH] .,2,1
A,Right .,3,2
B,And and and yeah well we'd like to you know start a project . in a few months from now [LAUGHS] Like [BREATH] So in the meantime and so the lo- [LIPSMACK] .,3,3
A,mhm .,3,1
B,a_lot_of staff have left and and so he's there on his own with all,3,4
A,uhhuh so so it's a nightmare .,3,3
B,Very very very diff- . [BREATH] It was very difficult . So he's he's struggling like crazy . [BREATH] .,4,4
A,Basically . [UNINTELLIGIBLE] .,3,2
B,And uh you know then on top of it he's like he's in the middle of,3,2
A,Right so that .,2,2
B,We thought that it was every half hour . We're right near Kiryat Sefer so like everybody's telling us that,3,4
A,[UNINTELLIGIBLE] .,2,1
B,being more and more service but it's like every half hour during But [BREATH] .,3,2
A,[UNINTELLIGIBLE] .,2,2
B,for like three for an hour or two at a time like but you know that,3,2
A,There's no bus so it can be real pain .,3,3
B,So yeah and then like until you get . the the bus goes through Kiryat Sefer and then it goes into Geula . Like until you get into Yerushalayim it's like an hour .,3,4
A,Right so .,3,1
B,Not forty minutes .,2,2
A,So it's a_lot_of time .,3,2
B,A- and then yeah . And then like if you're well Danny doesn't have to g- the truth is But um .,3,2
A,Right that's [UNINTELLIGIBLE] . It's only a five minute walk .,3,3
B,But for me like it's like to get from Har_Nof after that .,3,3
A,Pain . You have to take [UNINTELLIGIBLE] that bus whatever .,2,2
B,Pain in the neck . It's like an hour and a half you know just .,3,3
A,uhhuh .,2,1
B,So uh so that's a real and then you also have to go and walk into Like it's also a walk . Like a fifteen twenty minute walk in the blistering sun [BREATH] . So um .,3,4
A,So it's not easy . As far as that goes you mean commuting goes it's really not ea- .,3,4
B,commuting goes it's not easy . Like now I'm trying to get uh [BREATH] it's also the beginning you,3,3
A,"yeah, I mean I guess you're going to f- once your life will take on it'll b- e- things will get easier because .",3,3
B,Well you have to what you have to do is you have to be in the know,3,3
A,Who goes rides and this and that r- .,2,2
B,[BREATH] tramps and all that . yeah so I just found out a a ride that goes at like seven ten in,3,4
A,mhm .,3,2
B,So you know and Danny's found something like three times a week uh,3,4
A,uhhuh .,2,1
B,I think with time a_lot_of these things would .,3,3
A,With time things a_lot_of you'll be able to iron out some of the,3,3
B,Right right . It's just this .,3,2
A,So to speak .,2,2
B,Just uh you know until then it's like a it's .,2,2
A,mhm .,3,1
B,It's crazy a little bit .,3,2
A,uhhuh .,2,2
B,So uh yeah so then like you know there's a_lot_of things stupid,2,2
A,So all the bugs come in .,2,3
B,"+, and the hornets and .",3,3
A,And and probably to buy screens costs who knows how much .,2,2
B,yeah . Then you h- to make you know you have to make the aluminum for the Like you have to [BREATH] I haven't gotten a coat yet . I'm sort of afraid to .,3,2
A,mhm .,3,1
B,[BREATH] . But like Danny goes crazy with these things . He hates .,3,3
A,0 . He hates bugs .,3,3
B,"+, bugs . Whatever you know like [BREATH] .",3,3
A,mm huh .,3,2
B,So he bought some screen up in like in the hardware st- . store and just like taped . But you know it keeps on coming out and whatever .,3,4
A,Right . [UNINTELLIGIBLE] oh man .,3,2
B,Not something [UNINTELLIGIBLE] . And you know so these kind_of and and .,2,2
