turn_id,speaker,start,stop,utterance,interval,delta,questions,end_question,overlap,n_words,source_rows
3,5f17821d53d8590009cfc951,5.54,6.56,Hello?,-0.4199999999999999,1.0199999999999996,1,True,True,1,[3]
4,5e5ca080bb37ff47b09dd4cc,6.64,8.16,hi how are you?,0.08,1.5200000000000005,1,True,False,4,[4]
5,5f17821d53d8590009cfc951,7.64,10.82,All right just started a timer so we don't go over or under.,-0.5200000000000005,3.1800000000000006,0,False,True,14,[5]
6,5e5ca080bb37ff47b09dd4cc,11.04,13.04,Nice. Yeah,0.2199999999999988,2.0,0,False,False,2,[6]
7,5f17821d53d8590009cfc951,12.04,13.96,No.,-1.0,1.9200000000000017,0,False,True,1,[7]
8,5e5ca080bb37ff47b09dd4cc,13.44,18.26,I like your back. Is that your I was gonna say I like your background.,-0.5200000000000014,1.6100000000000012,0,False,True,16,"[8, 10, 12]"
13,5f17821d53d8590009cfc951,18.14,29.16,yeah I'm sitting in my bedroom. I have an office but I would rather bring the total or home and office right by the front doors and loud. So where are you from?,-0.120000000000001,3.3099999999999987,0,False,True,34,"[13, 15, 17, 19, 21]"
22,5e5ca080bb37ff47b09dd4cc,29.54,32.96,"Uh I'm out here in California, how about you",0.379999999999999,2.8200000000000003,0,False,False,10,"[22, 24]"
25,5f17821d53d8590009cfc951,33.24,34.46,"In Alabama,",0.2800000000000011,1.2199999999999989,0,False,False,2,[25]
26,5e5ca080bb37ff47b09dd4cc,34.74,39.73,Alabama? Oh wow okay this is so weird. So I had a chat with someone else I think,0.2800000000000011,4.989999999999995,1,False,False,18,[26]
27,5f17821d53d8590009cfc951,39.44,39.65,mm.,-0.2899999999999991,0.2100000000000008,0,False,True,1,[27]
28,5e5ca080bb37ff47b09dd4cc,39.74,47.65,a few weeks ago and he was also from Alabama. So yeah I don't know it was weird because I was like my first time I think meeting someone from Alabama.,0.0900000000000034,2.710000000000001,0,False,False,32,"[28, 30, 32]"
33,5f17821d53d8590009cfc951,47.34,48.66,Well Small World,-0.3099999999999951,1.3199999999999932,0,False,True,3,[33]
34,5e5ca080bb37ff47b09dd4cc,48.44,52.35,Yeah very small. Yeah. What um part of Alabama like,-0.2199999999999988,3.910000000000004,0,False,True,10,[34]
37,5f17821d53d8590009cfc951,52.87,58.55,If you've heard of it it's like Silicon Valley of the south. If you will,0.1099999999999994,2.0900000000000034,0,False,False,17,"[37, 39]"
40,5e5ca080bb37ff47b09dd4cc,57.54,59.69,Mhm. I,-1.009999999999998,2.1499999999999986,0,False,True,2,[40]
41,5f17821d53d8590009cfc951,58.94,65.45,"like the engineering hub of Alabama, that's where they built the Saturn five that took you know Apollo 11 up. So",-0.75,0.9600000000000009,0,False,True,22,"[41, 43, 45]"
46,5e5ca080bb37ff47b09dd4cc,65.24,77.25,Right. Nice. Okay. Yeah I have heard of Huntsville I think like after my talk a few weeks ago I got to know I got to get a little bit more familiar with them Alabama's geography so,-0.2100000000000079,12.010000000000003,0,False,True,38,[46]
49,5f17821d53d8590009cfc951,77.48,79.36,Yeah. What part of California from?,-0.8699999999999903,1.879999999999996,1,True,True,6,[49]
50,5e5ca080bb37ff47b09dd4cc,79.64,82.96,um Northern California. So near near san Francisco. Um,0.2800000000000011,3.319999999999993,0,False,False,9,[50]
51,5f17821d53d8590009cfc951,82.44,87.45,"Okay. Okay. I have a friend that lives, I think he looks in san Jose.",-0.519999999999996,1.1500000000000057,0,False,True,15,"[51, 53, 55, 57]"
58,5e5ca080bb37ff47b09dd4cc,87.74,95.48,Oh nice. That's not too far from yeah pretty pretty close. Um Yeah I guess is this your I assume this isn't your first time doing this,0.289999999999992,1.460000000000008,0,False,False,29,"[58, 60, 62]"
65,5f17821d53d8590009cfc951,95.51,95.94,is my,-0.289999999999992,0.4299999999999926,0,False,True,2,[65]
66,5e5ca080bb37ff47b09dd4cc,95.81,96.16,or?,-0.1299999999999954,0.3499999999999943,1,True,True,1,[66]
67,5f17821d53d8590009cfc951,95.94,97.45,third one. So,-0.2199999999999988,1.5100000000000051,0,False,True,3,[67]
